G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
3, 2020-01-20, 22-347,CLE,, NYK, L (-20), 0, 2:58,1,2, .500, 0,1,.000,0,0,, 0,1,1,1, 0, 1,0,0, 2
7, 2020-01-28, 22-355,CLE,, NOP, L (-14), 0, 1:38,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,1, 0
20, 2020-03-02, 23-024,CLE,, UTA, L (-13), 0, 1:14,0,0, , 0,0,,0,0,, 0,0,0,0, 1, 0,0,0, 0
24, 2020-03-10, 23-032,CLE,@, CHI, L (-5), 0, 12:55,0,2, .000, 0,1,.000,0,0,, 0,2,2,0, 1, 0,0,0, 0
