G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
48, 2020-01-29, 21-360,OKC,@, SAC, W (+20), 0, 1:31,0,1, .000, 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
56, 2020-02-23, 22-020,OKC,, SAS, W (+28), 0, 3:25,0,0, , 0,0,,0,0,, 0,1,1,0, 0, 0,0,0, 0
59, 2020-02-28, 22-025,OKC,@, MIL, L (-47), 0, 6:28,0,0, , 0,0,,0,0,, 0,1,1,0, 0, 0,1,1, 0
