G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2, 2019-10-25, 21-339,LAL,, UTA, W (+9), 0, 0:28,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
3, 2019-10-27, 21-341,LAL,, CHO, W (+19), 0, 2:20,0,0, , 0,0,,0,0,, 0,1,1,0, 0, 0,0,0, 0
38, 2020-01-10, 22-051,LAL,@, DAL, W (+15), 0, 2:18,0,0, , 0,0,,0,0,, 0,0,0,1, 0, 0,0,0, 0
