G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-10-23, 23-328,MIA,, MEM, W (+19), 0, 1:10,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
10, 2019-11-12, 23-348,MIA,, DET, W (+9), 0, 6:50,1,1, 1.000, 1,1,1.000,0,0,, 0,0,0,0, 0, 0,0,1, 3
12, 2019-11-16, 23-352,MIA,, NOP, W (+15), 0, 5:17,0,2, .000, 0,1,.000,0,0,, 0,0,0,1, 0, 0,2,0, 0
24, 2019-12-10, 24-011,MIA,, ATL, W (+14), 0, 0:49,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
