G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-10-23, 26-008,SAC,@, PHO, L (-29), 0, 17:25,0,2, .000, 0,0,,1,2,.500, 1,4,5,0, 0, 1,1,3, 1
2, 2019-10-25, 26-010,SAC,, POR, L (-10), 0, 17:14,4,6, .667, 0,0,,2,2,1.000, 2,4,6,0, 0, 2,1,5, 10
3, 2019-10-26, 26-011,SAC,@, UTA, L (-32), 0, 15:17,3,5, .600, 0,0,,0,0,, 0,1,1,1, 1, 0,2,2, 6
4, 2019-10-28, 26-013,SAC,, DEN, L (-7), 0, 30:23,10,14, .714, 0,0,,4,6,.667, 5,8,13,0, 0, 2,0,5, 24
5, 2019-10-30, 26-015,SAC,, CHO, L (-7), 1, 35:17,8,10, .800, 0,0,,1,2,.500, 4,5,9,2, 2, 3,4,4, 17
6, 2019-11-01, 26-017,SAC,, UTA, W (+1), 1, 20:15,4,6, .667, 0,0,,0,0,, 1,1,2,1, 2, 0,1,4, 8
7, 2019-11-03, 26-019,SAC,@, NYK, W (+21), 1, 29:40,6,8, .750, 0,0,,2,2,1.000, 4,6,10,3, 0, 1,1,4, 14
8, 2019-11-06, 26-022,SAC,@, TOR, L (-4), 1, 30:48,4,8, .500, 0,0,,0,0,, 3,5,8,0, 1, 2,0,5, 8
9, 2019-11-08, 26-024,SAC,@, ATL, W (+12), 1, 29:18,1,4, .250, 0,0,,0,0,, 2,7,9,1, 0, 1,0,1, 2
10, 2019-11-12, 26-028,SAC,, POR, W (+8), 1, 31:08,5,6, .833, 0,0,,1,2,.500, 3,7,10,1, 1, 2,0,5, 11
11, 2019-11-15, 26-031,SAC,@, LAL, L (-2), 1, 29:26,7,10, .700, 0,0,,3,3,1.000, 2,6,8,0, 0, 0,0,5, 17
12, 2019-11-17, 26-033,SAC,, BOS, W (+1), 1, 26:36,2,7, .286, 0,0,,5,6,.833, 3,8,11,0, 0, 2,2,5, 9
13, 2019-11-19, 26-035,SAC,, PHO, W (+4), 1, 34:21,8,11, .727, 0,0,,4,4,1.000, 3,12,15,0, 1, 2,2,5, 20
14, 2019-11-22, 26-038,SAC,@, BRK, L (-19), 1, 26:17,5,6, .833, 0,0,,2,3,.667, 4,4,8,2, 1, 1,1,5, 12
15, 2019-11-24, 26-040,SAC,@, WAS, W (+7), 1, 36:24,7,9, .778, 0,0,,2,2,1.000, 1,9,10,1, 2, 4,1,3, 16
16, 2019-11-25, 26-041,SAC,@, BOS, L (-1), 1, 27:31,4,6, .667, 0,0,,0,0,, 3,2,5,2, 1, 2,0,5, 8
17, 2019-11-27, 26-043,SAC,@, PHI, L (-6), 1, 19:46,1,4, .250, 0,0,,1,2,.500, 0,8,8,0, 1, 1,2,2, 3
18, 2019-11-30, 26-046,SAC,, DEN, W (+3), 1, 36:37,6,9, .667, 0,0,,1,2,.500, 3,7,10,2, 1, 1,1,6, 13
19, 2019-12-02, 26-048,SAC,, CHI, L (-7), 1, 32:47,9,12, .750, 0,0,,2,2,1.000, 4,5,9,1, 1, 1,0,4, 20
20, 2019-12-04, 26-050,SAC,@, POR, L (-11), 1, 33:11,11,14, .786, 0,0,,6,8,.750, 5,5,10,0, 1, 0,1,5, 28
21, 2019-12-06, 26-052,SAC,@, SAS, L (-1), 1, 44:41,6,9, .667, 0,0,,1,2,.500, 6,8,14,5, 3, 2,0,3, 13
22, 2019-12-08, 26-054,SAC,@, DAL, W (+4), 1, 32:15,6,8, .750, 0,0,,0,0,, 4,5,9,2, 1, 0,1,4, 12
23, 2019-12-09, 26-055,SAC,@, HOU, W (+1), 1, 36:18,4,7, .571, 0,0,,8,8,1.000, 3,5,8,0, 4, 2,0,3, 16
24, 2019-12-11, 26-057,SAC,, OKC, W (+1), 1, 24:57,5,7, .714, 0,0,,0,0,, 2,5,7,0, 2, 1,3,4, 10
25, 2019-12-13, 26-059,SAC,, NYK, L (-2), 1, 26:37,1,3, .333, 0,0,,2,2,1.000, 0,5,5,0, 0, 0,1,4, 4
