G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
10, 2019-11-12, 39-156,MIA,, DET, W (+9), 0, 4:59,1,1, 1.000, 0,0,,0,0,, 0,2,2,0, 0, 0,0,2, 2
13, 2019-11-20, 39-164,MIA,, CLE, W (+24), 0, 5:49,0,0, , 0,0,,3,4,.750, 0,1,1,0, 0, 0,0,1, 3
56, 2020-02-22, 39-258,MIA,, CLE, W (+19), 0, 9:48,0,5, .000, 0,2,.000,0,0,, 0,5,5,1, 0, 0,0,0, 0
